Combination,AverageScore,BestScore,F1 Score
BernoulliNB Binary Snowball Stemmer,0.6411333333333331,0.7226666666666667,0.7736670293797606
BernoulliNB Binary,0.5936666666666668,0.6293333333333333,0.709508881922675
BernoulliNB Binary Porter Stemmer,0.6368,0.7326666666666667,0.78003291278113
BernoulliNB Binary WordNet Lemmer,0.6218666666666667,0.6346666666666667,0.7109704641350211
MultinomialNB Term Frequency,0.6545,0.6813333333333333,0.6900129701686122
MultinomialNB Term Frequency Porter Stemmer,0.6718333333333334,0.6893333333333334,0.6985769728331177
MultinomialNB Term Frequency SnowBall Stemmer,0.6679333333333334,0.686,0.6963249516441005
MultinomialNB Term Frequency WordNet Lemmed,0.6617666666666666,0.6846666666666666,0.6930564568462038
MultinomialNB Normalized Term Frequency,0.6904666666666666,0.6986666666666667,0.6933514246947082
MultinomialNB Normalized Term Frequency - Porter Stemmer,0.6978333333333333,0.714,0.7153284671532847
MultinomialNB Normalized Term Frequency - SnowBall Stemmer,0.6947000000000001,0.7173333333333334,0.7079889807162534
MultinomialNB Normalized Term Frequency - WordNet Lemmer,0.6903333333333335,0.7086666666666667,0.7004797806716929
MultinomialNB TF/IDF,0.6833666666666668,0.6986666666666667,0.7006622516556292
MultinomialNB TF/IDF - Porter Stemmer,0.6915333333333333,0.7026666666666667,0.7022696929238986
MultinomialNB TF/IDF - SnowBall Stemmer,0.6896000000000001,0.7046666666666667,0.7048634243837442
MultinomialNB TF/IDF - WordNet Stemmer,0.6841333333333334,0.704,0.7024128686327078
SVM poly Cost 0.001 Term Frequency,0.5005666666666666,0.502,0.6675567423230975
SVM poly Cost 0.001 Term Frequency Porter Stemmer,0.5008,0.502,0.6675567423230975
SVM poly Cost 0.001 Term Frequency SnowBall Stemmer,0.5009,0.5026666666666667,0.667853962600178
SVM poly Cost 0.001 Term Frequency WordNet Lemmed,0.5006999999999999,0.502,0.6675567423230975
SVM poly Cost 0.001 Normalized Term Frequency,0.5223000000000001,0.6,0.5033112582781457
SVM poly Cost 0.001 Normalized Term Frequency - Porter Stemmer,0.5224000000000001,0.5586666666666666,0.3002114164904862
SVM poly Cost 0.001 Normalized Term Frequency - SnowBall Stemmer,0.5225666666666666,0.568,0.3596837944664032
SVM poly Cost 0.001 Normalized Term Frequency - WordNet Lemmer,0.5265,0.624,0.6642857142857143
SVM poly Cost 0.001 TF/IDF,0.5084,0.5226666666666666,0.09595959595959597
SVM poly Cost 0.001 TF/IDF - Porter Stemmer,0.5123,0.5253333333333333,0.10776942355889725
SVM poly Cost 0.001 TF/IDF - SnowBall Stemmer,0.5111333333333332,0.5253333333333333,0.11
SVM poly Cost 0.001 TF/IDF - WordNet Stemmer,0.5087,0.524,0.10526315789473684
SVM rbf Cost 0.001 Term Frequency,0.5678333333333334,0.592,0.6217552533992584
SVM rbf Cost 0.001 Term Frequency Porter Stemmer,0.5658333333333332,0.5913333333333334,0.6291591046581971
SVM rbf Cost 0.001 Term Frequency SnowBall Stemmer,0.5679000000000001,0.5866666666666667,0.6196319018404909
SVM rbf Cost 0.001 Term Frequency WordNet Lemmed,0.5660666666666667,0.5886666666666667,0.6226299694189602
SVM rbf Cost 0.001 Normalized Term Frequency,0.5813333333333334,0.6406666666666667,0.5642683912691997
SVM rbf Cost 0.001 Normalized Term Frequency - Porter Stemmer,0.5921000000000001,0.6433333333333333,0.5311130587204207
SVM rbf Cost 0.001 Normalized Term Frequency - SnowBall Stemmer,0.581,0.6333333333333333,0.5080500894454383
SVM rbf Cost 0.001 Normalized Term Frequency - WordNet Lemmer,0.5826666666666667,0.6313333333333333,0.530161427357689
SVM rbf Cost 0.001 TF/IDF,0.5349666666666667,0.598,0.3672612801678909
SVM rbf Cost 0.001 TF/IDF - Porter Stemmer,0.5361,0.574,0.26971428571428574
SVM rbf Cost 0.001 TF/IDF - SnowBall Stemmer,0.5311666666666668,0.5673333333333334,0.24797219003476245
SVM rbf Cost 0.001 TF/IDF - WordNet Stemmer,0.5289666666666667,0.554,0.21386603995299647
SVM linear Cost 0.001 Term Frequency,0.5043,0.5066666666666667,0.6696428571428572
SVM linear Cost 0.001 Term Frequency Porter Stemmer,0.5072666666666666,0.5093333333333333,0.6702508960573477
SVM linear Cost 0.001 Term Frequency SnowBall Stemmer,0.5065,0.508,0.6699463327370304
SVM linear Cost 0.001 Term Frequency WordNet Lemmed,0.5053666666666666,0.5073333333333333,0.6699419383653417
SVM linear Cost 0.001 Normalized Term Frequency,0.5871,0.638,0.6247408431237043
SVM linear Cost 0.001 Normalized Term Frequency - Porter Stemmer,0.6149,0.66,0.5900321543408361
SVM linear Cost 0.001 Normalized Term Frequency - SnowBall Stemmer,0.5913666666666666,0.65,0.5748987854251012
SVM linear Cost 0.001 Normalized Term Frequency - WordNet Lemmer,0.5951666666666667,0.6393333333333333,0.5953627524308152
SVM linear Cost 0.001 TF/IDF,0.5464999999999999,0.6533333333333333,0.5806451612903226
SVM linear Cost 0.001 TF/IDF - Porter Stemmer,0.5538666666666666,0.6106666666666667,0.3954451345755694
SVM linear Cost 0.001 TF/IDF - SnowBall Stemmer,0.5449,0.6033333333333334,0.37302423603793466
SVM linear Cost 0.001 TF/IDF - WordNet Stemmer,0.5395999999999999,0.592,0.3503184713375796
SVM poly Cost 1 Term Frequency,0.5250666666666667,0.6666666666666666,0.748995983935743
SVM poly Cost 1 Term Frequency Porter Stemmer,0.5224,0.5293333333333333,0.6746543778801842
SVM poly Cost 1 Term Frequency SnowBall Stemmer,0.5202666666666668,0.5306666666666666,0.6731662024141133
SVM poly Cost 1 Term Frequency WordNet Lemmed,0.5196999999999999,0.5293333333333333,0.6737523105360443
SVM poly Cost 1 Normalized Term Frequency,0.6426000000000001,0.664,0.6181818181818182
SVM poly Cost 1 Normalized Term Frequency - Porter Stemmer,0.6550333333333334,0.6766666666666666,0.6399406087602079
SVM poly Cost 1 Normalized Term Frequency - SnowBall Stemmer,0.6537666666666666,0.6753333333333333,0.6352059925093633
SVM poly Cost 1 Normalized Term Frequency - WordNet Lemmer,0.6465666666666667,0.6666666666666666,0.6312684365781711
SVM poly Cost 1 TF/IDF,0.6411333333333334,0.6613333333333333,0.5916398713826366
SVM poly Cost 1 TF/IDF - Porter Stemmer,0.6505333333333333,0.6766666666666666,0.6135458167330676
SVM poly Cost 1 TF/IDF - SnowBall Stemmer,0.6482333333333333,0.6713333333333333,0.6059152677857713
SVM poly Cost 1 TF/IDF - WordNet Stemmer,0.6422,0.6586666666666666,0.5890850722311397
SVM linear Cost 1000 Term Frequency,0.6463333333333334,0.6626666666666666,0.6868811881188119
SVM linear Cost 1000 Term Frequency Porter Stemmer,0.6399666666666667,0.6606666666666666,0.6820737039350406
SVM linear Cost 1000 Term Frequency SnowBall Stemmer,0.6394,0.6626666666666666,0.6864931846344486
SVM linear Cost 1000 Term Frequency WordNet Lemmed,0.6420999999999999,0.6573333333333333,0.6799501867995018
SVM linear Cost 1000 Normalized Term Frequency,0.6470333333333333,0.6653333333333333,0.6901234567901234
SVM linear Cost 1000 Normalized Term Frequency - Porter Stemmer,0.6481666666666668,0.6713333333333333,0.6966153846153846
SVM linear Cost 1000 Normalized Term Frequency - SnowBall Stemmer,0.6441666666666666,0.6666666666666666,0.6878901373283396
SVM linear Cost 1000 Normalized Term Frequency - WordNet Lemmer,0.6277333333333334,0.6593333333333333,0.6784140969162996
SVM linear Cost 1000 TF/IDF,0.6409333333333334,0.6653333333333333,0.6972255729794934
SVM linear Cost 1000 TF/IDF - Porter Stemmer,0.6457666666666666,0.6713333333333333,0.696241528034504
SVM linear Cost 1000 TF/IDF - SnowBall Stemmer,0.6421333333333334,0.664,0.683814303638645
SVM linear Cost 1000 TF/IDF - WordNet Stemmer,0.6351666666666667,0.6573333333333333,0.6865853658536586
SVM linear Cost 1 Term Frequency,0.6752333333333332,0.8826666666666667,0.8837516512549538
SVM linear Cost 1 Term Frequency Porter Stemmer,0.6759999999999999,0.696,0.703125
SVM linear Cost 1 Term Frequency SnowBall Stemmer,0.6753666666666667,0.7,0.7093023255813954
SVM linear Cost 1 Term Frequency WordNet Lemmed,0.6686333333333334,0.6873333333333334,0.6983922829581993
SVM linear Cost 1 Normalized Term Frequency,0.6835666666666667,0.7073333333333334,0.7007498295841854
SVM linear Cost 1 Normalized Term Frequency - Porter Stemmer,0.6934333333333333,0.708,0.7044534412955465
SVM linear Cost 1 Normalized Term Frequency - SnowBall Stemmer,0.6902333333333333,0.7133333333333334,0.7070844686648501
SVM linear Cost 1 Normalized Term Frequency - WordNet Lemmer,0.6868333333333333,0.7006666666666667,0.6935153583617747
SVM linear Cost 1 TF/IDF,0.6864,0.706,0.7026298044504383
SVM linear Cost 1 TF/IDF - Porter Stemmer,0.6941999999999999,0.7093333333333334,0.7034013605442178
SVM linear Cost 1 TF/IDF - SnowBall Stemmer,0.693,0.7126666666666667,0.7049965776865161
SVM linear Cost 1 TF/IDF - WordNet Stemmer,0.6888333333333334,0.706,0.6973232669869597
SVM poly Cost 1000 Term Frequency,0.5752666666666668,0.59,0.6677471636952999
SVM poly Cost 1000 Term Frequency Porter Stemmer,0.5888666666666666,0.6073333333333333,0.6841823056300268
SVM poly Cost 1000 Term Frequency SnowBall Stemmer,0.5860000000000001,0.6026666666666667,0.681283422459893
SVM poly Cost 1000 Term Frequency WordNet Lemmed,0.5814333333333332,0.5953333333333334,0.6706456863809007
SVM poly Cost 1000 Normalized Term Frequency,0.5125,0.5233333333333333,0.671264367816092
SVM poly Cost 1000 Normalized Term Frequency - Porter Stemmer,0.5175333333333334,0.5246666666666666,0.6638378123526639
SVM poly Cost 1000 Normalized Term Frequency - SnowBall Stemmer,0.5175666666666666,0.5253333333333333,0.6682199440820131
SVM poly Cost 1000 Normalized Term Frequency - WordNet Lemmer,0.5156666666666668,0.524,0.6694444444444445
SVM poly Cost 1000 TF/IDF,0.5027666666666667,0.5086666666666667,0.6693584567070434
SVM poly Cost 1000 TF/IDF - Porter Stemmer,0.5027666666666667,0.5093333333333333,0.6696588868940755
SVM poly Cost 1000 TF/IDF - SnowBall Stemmer,0.5045,0.51,0.6693657219973009
SVM poly Cost 1000 TF/IDF - WordNet Stemmer,0.5031666666666667,0.5113333333333333,0.670561797752809
SVM rbf Cost 1 Term Frequency,0.6606666666666666,0.6833333333333333,0.6995572422517393
SVM rbf Cost 1 Term Frequency Porter Stemmer,0.6707000000000002,0.684,0.7003792667509482
SVM rbf Cost 1 Term Frequency SnowBall Stemmer,0.6730333333333334,0.6986666666666667,0.7131979695431473
SVM rbf Cost 1 Term Frequency WordNet Lemmed,0.6638,0.6913333333333334,0.6773519163763065
SVM rbf Cost 1 Normalized Term Frequency,0.6867666666666665,0.7046666666666667,0.6815240833932422
SVM rbf Cost 1 Normalized Term Frequency - Porter Stemmer,0.6922999999999999,0.712,0.706919945725916
SVM rbf Cost 1 Normalized Term Frequency - SnowBall Stemmer,0.6907000000000001,0.7073333333333334,0.6978664831383344
SVM rbf Cost 1 Normalized Term Frequency - WordNet Lemmer,0.6856666666666666,0.7033333333333334,0.6877192982456142
SVM rbf Cost 1 TF/IDF,0.6930666666666666,0.7086666666666667,0.6853851691864651
SVM rbf Cost 1 TF/IDF - Porter Stemmer,0.7020000000000001,0.718,0.7120490129339687
SVM rbf Cost 1 TF/IDF - SnowBall Stemmer,0.7005666666666667,0.7186666666666667,0.7089655172413792
SVM rbf Cost 1 TF/IDF - WordNet Stemmer,0.6927333333333334,0.7086666666666667,0.6889679715302491
SVM rbf Cost 1000 Term Frequency,0.6144666666666667,0.67,0.6710963455149501
SVM rbf Cost 1000 Term Frequency Porter Stemmer,0.6137666666666668,0.678,0.6773547094188377
SVM rbf Cost 1000 Term Frequency SnowBall Stemmer,0.5950666666666666,0.6806666666666666,0.6590747330960854
SVM rbf Cost 1000 Term Frequency WordNet Lemmed,0.5943999999999999,0.6733333333333333,0.6763540290620871
SVM rbf Cost 1000 Normalized Term Frequency,0.6915666666666667,0.7026666666666667,0.6986486486486486
SVM rbf Cost 1000 Normalized Term Frequency - Porter Stemmer,0.6984,0.72,0.7150610583446405
SVM rbf Cost 1000 Normalized Term Frequency - SnowBall Stemmer,0.6964666666666667,0.716,0.7090163934426229
SVM rbf Cost 1000 Normalized Term Frequency - WordNet Lemmer,0.6888000000000001,0.7086666666666667,0.6988283942108889
SVM rbf Cost 1000 TF/IDF,0.6914666666666667,0.7053333333333334,0.7021563342318059
SVM rbf Cost 1000 TF/IDF - Porter Stemmer,0.7006,0.7146666666666667,0.7161803713527851
SVM rbf Cost 1000 TF/IDF - SnowBall Stemmer,0.6993666666666667,0.7213333333333334,0.7202141900937082
SVM rbf Cost 1000 TF/IDF - WordNet Stemmer,0.6922666666666667,0.7146666666666667,0.7072503419972641
